source_id,target_id,distance_km,weight,edge_type
51,104,154.9,0.006456,PROXIMATE_TO
51,107,110.0,0.009087,PROXIMATE_TO
51,109,220.0,0.004545,PROXIMATE_TO
52,53,173.6,0.005759,PROXIMATE_TO
52,54,189.6,0.005274,PROXIMATE_TO
52,55,153.8,0.006502,PROXIMATE_TO
52,56,281.0,0.003559,PROXIMATE_TO
52,57,68.9,0.014524,PROXIMATE_TO
52,59,265.0,0.003773,PROXIMATE_TO
52,60,247.4,0.004041,PROXIMATE_TO
52,71,225.4,0.004436,PROXIMATE_TO
52,72,148.7,0.006723,PROXIMATE_TO
52,80,269.0,0.003718,PROXIMATE_TO
52,121,279.5,0.003578,PROXIMATE_TO
52,122,139.2,0.007182,PROXIMATE_TO
52,123,132.3,0.007556,PROXIMATE_TO
52,124,97.3,0.010277,PROXIMATE_TO
52,125,238.7,0.00419,PROXIMATE_TO
52,126,198.6,0.005035,PROXIMATE_TO
52,127,177.5,0.005634,PROXIMATE_TO
