state,district_name,population,literate_pop,working_pop,urban_percentage,literacy_rate,district_id
Madhya Pradesh,Bhopal,1837603.0,1156759.0,589122.0,80.7,62.9,318
Madhya Pradesh,Burhanpur,646363.0,320457.0,270711.0,39.5,49.6,319
Madhya Pradesh,Chhatarpur,1474723.0,631370.0,592470.0,22.0,42.8,320
Madhya Pradesh,Chhindwara,1835653.0,1011657.0,776423.0,23.6,55.1,321
Madhya Pradesh,Damoh,1072720.0,541509.0,482434.0,18.0,50.5,322
Madhya Pradesh,Datia,679758.0,399963.0,344226.0,20.2,58.8,323
Madhya Pradesh,Dewas,1307849.0,656300.0,580246.0,27.4,50.2,324
Madhya Pradesh,Dhar,1714056.0,719604.0,802582.0,15.3,42.0,325
Madhya Pradesh,Dindori,592910.0,268821.0,335356.0,6.6,45.3,326
Madhya Pradesh,East Nimar,1011468.0,521323.0,456728.0,19.8,51.5,327
Madhya Pradesh,Guna,977827.0,453233.0,418807.0,24.4,46.4,328
Madhya Pradesh,Gwalior,1632109.0,955356.0,530629.0,60.2,58.5,329
Madhya Pradesh,Harda,474416.0,257682.0,213226.0,21.3,54.3,330
Madhya Pradesh,Hoshangabad,1084265.0,635839.0,387120.0,30.8,58.6,331
Madhya Pradesh,Indore,2455179.0,1570184.0,890112.0,70.5,64.0,332
Madhya Pradesh,Jabalpur,2128575.0,1381022.0,792366.0,57.1,64.9,333
Madhya Pradesh,Jhabua,784286.0,250847.0,395297.0,9.8,32.0,334
Madhya Pradesh,Katni,1061678.0,554306.0,442518.0,21.2,52.2,335
Madhya Pradesh,Khargone,1529446.0,780773.0,704373.0,15.4,51.0,336
Madhya Pradesh,Mandla,881745.0,438963.0,459802.0,10.4,49.8,337
Madhya Pradesh,Mandsaur,1178265.0,690499.0,568472.0,18.7,58.6,338
Madhya Pradesh,Morena,1592714.0,837828.0,590599.0,21.6,52.6,339
Madhya Pradesh,Narsinghpur,966230.0,629919.0,406262.0,17.0,65.2,340
Madhya Pradesh,Neemuch,726070.0,403371.0,348262.0,28.0,55.6,341
Madhya Pradesh,Niwari,321123.0,156046.0,154734.0,13.7,48.6,342
Madhya Pradesh,Panna,856558.0,420622.0,373605.0,12.6,49.1,343
Madhya Pradesh,Raisen,1121466.0,656578.0,410313.0,18.4,58.5,344
Madhya Pradesh,Rajgarh,1254085.0,548640.0,625494.0,17.3,43.7,345
Madhya Pradesh,Ratlam,1241666.0,688354.0,556685.0,31.8,55.4,346
Madhya Pradesh,Rewa,1970124.0,989524.0,862076.0,16.3,50.2,347
Madhya Pradesh,Sagar,2009807.0,1111936.0,835314.0,28.8,55.3,348
Madhya Pradesh,Satna,1873677.0,986818.0,746607.0,21.0,52.7,349
